2018-674;2018;Série Web;MERCI MAIS NON MERCI - Épisode 1;Julie Oona;;81 boulevard masséna, 75013 paris;75013;2018-06-02;2018-06-02;2.36824799;48.82083937;"{""type"": ""Point"", ""coordinates"": [2.368247988231992, 48.820839365759944]}";48.8208393658,2.36824798823
2018-683;2018;Long métrage;QUAND TU DANSES;Ladislas Chollat;EMPREINTE CINÉMA;place de costa rica, 75016 paris;75016;2018-06-05;2018-06-05;2.28460587;48.85867153;"{""type"": ""Point"", ""coordinates"": [2.284605867157024, 48.85867153281226]}";48.8586715328,2.28460586716
2019-1749;2019;Série TV;BOOMERANG;DIME DAVIS;NW 2020;2 rue saint-eleuthère, 75018 paris;75018;2019-12-17;2019-12-18;2.34181413;48.88585804;"{""type"": ""Point"", ""coordinates"": [2.341814134072181, 48.88585803558802]}";48.8858580356,2.34181413407
2019-1753;2019;Série TV;PROFILAGE EPISODES 101/102;ALEXANDRE LAURENT;BEAUBOURG AUDIOVISUEL;place du colonel bourgoin, 75012 paris;75012;2019-12-18;2019-12-19;2.38295577;48.84486585;"{""type"": ""Point"", ""coordinates"": [2.382955765101291, 48.84486584549128]}";48.8448658455,2.3829557651
2018-1127;2018;Long métrage;QUAND ON CRIE AU LOUP;Marilou Berry;Wonder Films;5 rue louis boilly, 75016 paris;75016;2018-10-01;2018-10-01;2.26683189;48.85915131;"{""type"": ""Point"", ""coordinates"": [2.266831892417546, 48.8591513080551]}";48.8591513081,2.26683189242
