2018-1014;2018;Série Web;Alice in Paris - Saison 3;Thibaud Martin;Story Tailors;quai d'orsay, 75007 paris;75007;2018-09-03;2018-09-03;2.30995863;48.86256834;"{""type"": ""Point"", ""coordinates"": [2.309958629685734, 48.86256833510384]}";48.8625683351,2.30995862969
2019-130;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;5 rue la vieuville, 75018 paris;75018;2019-02-06;2019-02-06;2.33894527;48.884682839999996;"{""type"": ""Point"", ""coordinates"": [2.338945266613897, 48.884682842531845]}";48.8846828425,2.33894526661
2019-732;2019;Long métrage;PARENT D'ELEVE;NOEMIE SAGLIO;RECTANGLE PRODUCTIONS;178 rue de charenton, 75012 paris;75012;2019-06-24;2019-07-03;2.38432814;48.84394993;"{""type"": ""Point"", ""coordinates"": [2.384328142447483, 48.84394993180097]}";48.8439499318,2.38432814245
2019-736;2019;Long métrage;CHACUN CHEZ SOI !;Michèle Laroque;ALTER FILMS - CHACUN CHEZ SOI !;27 rue saint-guillaume, 75007 paris;75007;2019-06-21;2019-06-22;2.3283959100000002;48.85413398;"{""type"": ""Point"", ""coordinates"": [2.328395906093891, 48.85413398355382]}";48.8541339836,2.32839590609
2019-767;2019;Long métrage;L'HORIZON;EMILIE CARPENTIER;ELZEVIR FILMS;quai de la marne, 75019 paris;75019;2019-07-05;2019-07-05;2.38307699;48.88989684;"{""type"": ""Point"", ""coordinates"": [2.383076987550222, 48.889896835016714]}";48.889896835,2.38307698755
2018-1226;2018;Long métrage;les amis des amis;pascal Bonitzer;SBS Productions;place de la république, 75011 paris;75011;2018-10-16;2018-10-16;2.36479185;48.86635144;"{""type"": ""Point"", ""coordinates"": [2.364791850060801, 48.86635144192642]}";48.8663514419,2.36479185006
