2018-1134;2018;Long métrage;LA BELLE EPOQUE;NICOLAS BEDOS;SAS LES FILMS DU KIOSQUE;boulevard bessières, 75017 paris;75017;2018-09-25;2018-09-26;2.32864611;48.89750941;"{""type"": ""Point"", ""coordinates"": [2.328646109979589, 48.89750941377581]}";48.8975094138,2.32864610998
2018-949;2018;Long métrage;Les Mignonnes;Maïmouna Doucouré;Bien ou bien Productions;place francis poulenc, 75019 paris;75019;2018-08-22;2018-08-27;2.38640136;48.88414139;"{""type"": ""Point"", ""coordinates"": [2.386401357551756, 48.884141394023665]}";48.884141394,2.38640135755
2018-988;2018;Série TV;Huge in France;Andy Mogel et Jarrad Paul;Froggie Production;avenue du docteur brouardel, 75007 paris;75007;2018-08-22;2018-08-22;2.29575471;48.85527633;"{""type"": ""Point"", ""coordinates"": [2.295754713983416, 48.855276329182914]}";48.8552763292,2.29575471398
2018-1003;2018;Série TV;Une famille formidable;nicolas Herdt;Panama productions;104 avenue de france, 75013 paris;75013;2018-08-24;2018-08-24;2.37761773;48.82998569;"{""type"": ""Point"", ""coordinates"": [2.377617729311742, 48.82998568683707]}";48.8299856868,2.37761772931
2018-1006;2018;Série TV;Vernon Subutex;Cathy Verney;TETRA MEDIA FICTION;rue des deux gares, 75010 paris;75010;2018-08-28;2018-08-30;2.35843741;48.87836615;"{""type"": ""Point"", ""coordinates"": [2.358437407909282, 48.878366147573615]}";48.8783661476,2.35843740791
